Date,Open,High,Low,Close,Adj Close,Volume
2012-05-01,20.889286,21.312857,18.649286,20.633215,17.654713,11106345600
2012-06-01,20.327143,21.071428,19.589285,20.857143,17.846313,7855825600
2012-07-01,20.883215,22.138214,20.357143,21.812857,18.664078,8909650400
2012-08-01,21.996786,24.316786,21.437500,23.758572,20.328909,8276206400
2012-09-01,23.777143,25.181072,23.428572,23.825001,20.473276,9199005200
2012-10-01,23.969999,24.169643,20.989286,21.261429,18.270342,12142830000
2012-11-01,21.365000,21.535715,18.062500,20.902857,17.962212,12929851200
2012-12-01,21.201786,21.235357,17.901072,19.006071,16.406870,12132752800
2013-01-01,19.779285,19.821428,15.535714,16.267500,14.042816,13123423600
2013-02-01,16.396786,17.319286,15.630714,15.764286,13.608422,9344034000
2013-03-01,15.642858,16.783928,14.964286,15.809286,13.726799,9176876800
2013-04-01,15.782143,15.901786,13.753572,15.813571,13.730520,10963489600
2013-05-01,15.873571,16.633928,14.960714,16.061787,13.946040,9447530400
2013-06-01,16.097500,16.229643,13.888214,14.161786,12.377708,7018536000
2013-07-01,14.381785,16.333570,14.329286,16.161785,14.125751,6538114800
2013-08-01,16.276785,18.347857,16.187857,17.400715,15.208604,8058338400
2013-09-01,17.610714,18.139999,15.972143,17.026785,14.980044,8630941200
2013-10-01,17.087500,19.258928,17.081429,18.667856,16.423851,7837732000
2013-11-01,18.715000,19.940357,18.299286,19.859642,17.472368,5225155600
2013-12-01,19.928572,20.540714,19.242857,20.036428,17.730829,7057397200
2014-01-01,19.845715,20.007143,17.626785,17.878571,15.821273,8765954400
2014-02-01,17.950357,19.685358,17.832144,18.794285,16.631613,5880366800
2014-03-01,18.693571,19.607143,18.671785,19.169285,17.065008,5001698800
2014-04-01,19.205715,21.408215,18.261786,21.074642,18.761208,6435060800
2014-05-01,21.142857,23.006071,20.726072,22.607143,20.125475,5735668400
2014-06-01,22.641428,23.762501,22.232143,23.232500,20.797703,4827739200
2014-07-01,23.379999,24.860001,23.142500,23.900000,21.395247,4140344000
2014-08-01,23.725000,25.725000,23.320000,25.625000,22.939465,3748308000
2014-09-01,25.764999,25.934999,24.035000,25.187500,22.659969,6105680000
2014-10-01,25.147499,27.010000,23.795000,27.000000,24.290590,5441120800
2014-11-01,27.055000,29.937500,26.930000,29.732500,26.748892,3281632800
2014-12-01,29.702499,29.812500,26.565001,27.594999,24.933533,4294378400
2015-01-01,27.847500,30.000000,26.157499,29.290001,26.465057,5221053600
2015-02-01,29.512501,33.400002,29.020000,32.115002,29.017591,4546140800
2015-03-01,32.312500,32.570000,30.407499,31.107500,28.218189,4554568400
2015-04-01,31.205000,33.634998,30.775000,31.287500,28.381468,3984542000
2015-05-01,31.525000,33.242500,30.840000,32.570000,29.544855,3816608400
2015-06-01,32.570000,32.847500,31.120001,31.357500,28.563786,3514426800
2015-07-01,31.725000,33.242500,29.805000,30.325001,27.623274,4233122400
2015-08-01,30.375000,30.642500,23.000000,28.190001,25.678486,6427276400
2015-09-01,27.537500,29.222500,26.840000,27.575001,25.231974,4826189200
2015-10-01,27.267500,30.305000,26.827499,29.875000,27.336546,4450048400
2015-11-01,30.200001,30.955000,27.750000,29.575001,27.062035,3002562400
2015-12-01,29.687500,29.965000,26.205000,26.315001,24.182106,3687660800
2016-01-01,25.652500,26.462500,23.097500,24.334999,22.362589,5087392000
2016-02-01,24.117500,24.722500,23.147499,24.172501,22.213264,3243450400
2016-03-01,24.412500,27.605000,24.355000,27.247499,25.174894,2984198400
2016-04-01,27.195000,28.097500,23.127501,23.434999,21.652395,3489534800
2016-05-01,23.492500,25.182501,22.367500,24.965000,23.066017,3602686000
2016-06-01,24.754999,25.472500,22.875000,23.900000,22.216469,3117990800
2016-07-01,23.872499,26.137501,23.592501,26.052500,24.217342,2743118400
2016-08-01,26.102501,27.557501,26.000000,26.525000,24.656557,2520514000
2016-09-01,26.535000,29.045000,25.632500,28.262501,26.413992,3872062400
2016-10-01,28.177500,29.672501,28.070000,28.385000,26.528477,2747657200
2016-11-01,28.365000,28.442499,26.020000,27.629999,25.822859,2886220000
2016-12-01,27.592501,29.504999,27.062500,28.955000,27.200134,2435086800
2017-01-01,28.950001,30.610001,28.690001,30.337500,28.498844,2252488000
2017-02-01,31.757500,34.369999,31.752501,34.247501,32.171871,2299874400
2017-03-01,34.472500,36.125000,34.262501,35.915001,33.884594,2246513600
2017-04-01,35.927502,36.365002,35.014999,35.912498,33.882225,1493216400
2017-05-01,36.275002,39.162498,36.067501,38.189999,36.030972,2615927200
2017-06-01,38.292500,38.994999,35.549999,36.005001,34.109711,2736712400
2017-07-01,36.220001,38.497501,35.602501,37.182499,35.225227,1688047600
2017-08-01,37.275002,41.130001,37.102501,41.000000,38.841778,2644276000
2017-09-01,41.200001,41.235001,37.290001,38.529999,36.645142,2721496400
2017-10-01,38.564999,42.412498,38.115002,42.259998,40.192673,2017165200
2017-11-01,42.467499,44.060001,41.320000,42.962502,40.860806,2402653600
2017-12-01,42.487499,44.299999,41.615002,42.307499,40.382496,2124735200
2018-01-01,42.540001,45.025002,41.174999,41.857498,39.952976,2638717600
2018-02-01,41.792500,45.154999,37.560001,44.529999,42.503876,3711577200
2018-03-01,44.634998,45.875000,41.235001,41.945000,40.199734,2854910800
2018-04-01,41.660000,44.735001,40.157501,41.314999,39.595936,2664617200
2018-05-01,41.602501,47.592499,41.317501,46.717499,44.773647,2483905200
2018-06-01,46.997501,48.549999,45.182499,46.277500,44.522980,2110498000
2018-07-01,45.955002,48.990002,45.855000,47.572498,45.768883,1574765600
2018-08-01,49.782501,57.217499,49.327499,56.907501,54.749969,2801275600
2018-09-01,57.102501,57.417500,53.825001,56.435001,54.485802,2715888000
2018-10-01,56.987499,58.367500,51.522499,54.715000,52.825207,3158994000
2018-11-01,54.762501,55.590000,42.564999,44.645000,43.103020,3845305600
2018-12-01,46.115002,46.235001,36.647499,39.435001,38.205803,3595690000
2019-01-01,38.722500,42.250000,35.500000,41.610001,40.313007,3312349600
2019-02-01,41.740002,43.967499,41.482498,43.287498,41.938221,1890162400
2019-03-01,43.570000,49.422501,42.375000,47.487499,46.204620,2603925600
2019-04-01,47.910000,52.119999,47.095001,50.167500,48.812218,2024470800
2019-05-01,52.470001,53.827499,43.747501,43.767502,42.585117,2957826400
2019-06-01,43.900002,50.392502,42.567501,49.480000,48.328697,2060874800
2019-07-01,50.792500,55.342499,49.602501,53.259998,52.020744,1895406800
2019-08-01,53.474998,54.507500,48.145000,52.185001,50.970757,2724326400
2019-09-01,51.607498,56.605000,51.055000,55.992500,54.897453,2170268400
2019-10-01,56.267502,62.437500,53.782501,62.189999,60.973743,2433210800
2019-11-01,62.384998,67.000000,62.290001,66.812500,65.505836,1793326000
2019-12-01,66.817497,73.492500,64.072502,73.412498,72.192863,2388794800
2020-01-01,74.059998,81.962502,73.187500,77.377502,76.091995,2934370400
2020-02-01,76.074997,81.805000,64.092499,68.339996,67.204628,3019851200
2020-03-01,70.570000,76.000000,53.152500,63.572498,62.664707,6280072400
2020-04-01,61.625000,73.632500,59.224998,73.449997,72.401154,3266123200
2020-05-01,71.562500,81.059998,71.462502,79.485001,78.349983,1001638100
2020-06-01,79.437500,93.095001,79.302498,91.199997,90.879066,3243375600
2020-07-01,91.279999,106.415001,89.144997,106.260002,105.886086,3020496000
2020-08-01,108.199997,131.000000,107.892502,129.039993,128.585907,4070623100
2020-09-01,132.759995,137.979996,103.099998,115.809998,115.610542,3885767100
2020-10-01,117.639999,125.389999,107.720001,108.860001,108.672516,2895016800
2020-11-01,109.110001,121.989998,107.320000,116.029999,115.830162,1906639000
2020-11-25,115.550003,116.750000,115.169998,116.029999,116.029999,72875142
